subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
2,1,10,11,11,2,0.551,0.5,1
2,1,10,11,11,2,0.417,0.5,1
2,1,10,11,11,2,0.43,0.5,1
2,1,10,11,11,2,0.414,0.5,1
2,1,10,11,11,2,0.542,0.5,1
2,1,12,11,11,2,0.606,0.5,1
2,1,12,13,13,2,0.557,0.5,1
2,1,12,13,13,2,0.596,0.5,1
2,1,12,13,12,1,0.41,0.5,1
2,1,12,13,13,2,0.432,0.87,1
2,1,12,13,13,2,0.496,0.98,1
2,1,12,13,13,2,0.432,0.99,1
2,1,12,13,13,2,0.511,1,1
2,1,14,13,13,2,0.431,0.98,1
3,1,2,3,2,1,1.134,0.78,1
3,1,2,3,2,1,0.582,0.83,1
3,1,4,3,4,1,0.386,0.8,1
3,1,4,3,4,1,0.524,1,1
3,1,4,3,4,1,0.455,1,1
3,1,4,3,4,1,0.592,0.98,1
3,1,4,3,3,2,0.771,0.19,1
3,1,4,3,4,1,0.467,1,1
3,1,4,3,4,1,0.595,1,1
3,1,4,5,4,1,0.684,1,1
3,1,4,5,5,2,1.034,0.43,1
3,1,4,5,5,2,0.659,1,1
3,1,6,5,5,2,0.515,1,1
3,1,6,7,7,2,0.515,1,1
3,1,6,7,7,2,0.633,1,1
3,1,6,7,6,1,0.627,0.28,1
3,1,6,7,7,2,0.446,1,1
3,1,6,7,7,2,0.624,1,1
3,1,6,7,7,2,0.351,1,1
3,1,6,7,7,2,0.489,1,1
3,1,6,7,6,1,0.379,0.65,1
3,1,6,7,7,2,0.4,1,1
3,1,6,7,7,2,0.407,1,1
3,1,6,7,7,2,0.507,1,1
3,1,8,7,8,1,0.553,0.69,1
3,1,8,7,8,1,0.335,1,1
3,1,8,7,8,1,0.324,1,1
3,1,8,7,8,1,0.327,1,1
3,1,8,7,8,1,0.345,1,1
3,1,8,7,7,2,0.353,0.59,1
3,1,8,7,8,1,0.349,1,1
3,1,8,7,8,1,0.331,1,1
3,1,8,7,8,1,0.308,1,1
3,1,8,7,8,1,0.324,1,1
3,1,8,7,7,2,0.318,0.6,1
3,1,8,9,8,1,0.326,1,1
3,1,8,9,8,1,0.326,1,1
3,1,8,9,8,1,0.331,1,1
3,1,10,9,9,2,0.359,0.64,1
3,1,10,11,11,2,0.591,1,1
3,1,10,11,11,2,0.492,1,1
3,1,10,11,11,2,0.393,1,1
3,1,12,11,11,2,0.318,1,1
3,1,12,11,12,1,0.291,0.16,1
3,1,12,11,12,1,0.409,1,1
3,1,12,11,12,1,0.758,1,1
3,1,12,11,12,1,0.313,1,1
3,1,12,11,12,1,0.476,1,1
3,1,12,13,13,2,0.301,0.34,1
3,1,12,13,13,2,0.407,1,1
3,1,14,13,13,2,0.388,1,1
3,1,14,13,13,2,0.43,1,1
3,1,14,15,15,2,0.344,1,1
3,1,14,15,15,2,0.711,1,1
3,1,14,15,15,2,0.524,1,1
3,1,14,15,15,2,0.431,1,1
3,1,14,15,15,2,0.376,1,1
3,1,16,15,16,1,0.31,0.26,1
3,1,16,15,16,1,0.575,1,1
3,1,16,15,16,1,0.305,1,1
3,1,16,15,16,1,0.389,1,1
3,1,16,15,16,1,0.516,1,1
3,1,16,17,17,2,0.345,0.53,1
3,1,16,17,17,2,0.376,1,1
3,1,16,17,17,2,0.309,1,1
3,1,16,17,17,2,0.359,1,1
3,1,16,17,17,2,0.327,1,1
3,1,16,17,16,1,0.309,0.25,1
3,1,16,17,17,2,0.354,1,1
3,1,16,17,17,2,0.322,1,1
3,1,18,17,17,2,0.339,1,1
3,1,18,17,17,2,0.365,1,1
3,1,18,17,18,1,0.341,0.32,1
3,1,18,17,18,1,0.453,1,1
3,1,18,17,18,1,0.377,1,1
3,1,18,19,18,1,0.382,1,1
3,1,18,19,18,1,0.389,1,1
3,1,18,19,19,2,0.377,0.26,1
3,1,18,19,19,2,0.387,1,1
3,1,18,19,19,2,0.358,1,1
